flow_bpd_60hz,head_ft_per_stage,bhp_per_stage_hp,stage_eff_pct,P0901_HP_17stg_dP_psi,P0901_HP_17stg_BHP_hp,P0901_HP_amps_60hz_est,P1021_LP_26stg_dP_psi,P1021_LP_26stg_BHP_hp,P1021_LP_amps_60hz_est,in_recommended_range
0,234.55,40.94,0.0,1795.1,696.0,103.5,2745.5,1064.5,152.8,0
1000,234.76,41.15,4.2,1796.8,699.6,104.0,2748.1,1070.0,153.5,0
2000,234.58,41.37,8.4,1795.4,703.3,104.6,2746.0,1075.6,154.3,0
3000,234.05,41.59,12.4,1791.4,707.0,105.1,2739.8,1081.2,155.2,0
4000,233.22,41.81,16.4,1785.0,710.8,105.7,2730.0,1087.1,156.0,0
5000,232.11,42.06,20.3,1776.5,714.9,106.3,2717.0,1093.4,156.9,0
6000,230.78,42.31,24.1,1766.3,719.3,107.0,2701.5,1100.2,157.9,0
7000,229.26,42.59,27.8,1754.7,724.1,107.7,2683.6,1107.4,158.9,0
8000,227.57,42.9,31.3,1741.8,729.2,108.4,2663.9,1115.3,160.0,0
9000,225.75,43.22,34.6,1727.8,734.8,109.3,2642.6,1123.8,161.3,0
10000,223.83,43.58,37.8,1713.1,740.8,110.2,2620.0,1133.0,162.6,0
11000,221.82,43.96,40.9,1697.7,747.3,111.1,2596.5,1142.9,164.0,0
12000,219.75,44.37,43.8,1681.9,754.3,112.2,2572.3,1153.6,165.5,0
13000,217.64,44.81,46.5,1665.8,761.8,113.3,2547.6,1165.0,167.2,0
14000,215.51,45.28,49.1,1649.4,769.7,114.5,2522.6,1177.2,168.9,0
15000,213.36,45.78,51.5,1633.0,778.2,115.7,2497.5,1190.2,170.8,0
16000,211.22,46.3,53.8,1616.6,787.1,117.0,2472.4,1203.8,172.8,0
17000,209.08,46.85,55.9,1600.3,796.5,118.4,2447.4,1218.2,174.8,0
18000,206.97,47.43,57.8,1584.1,806.4,119.9,2422.7,1233.3,177.0,0
19000,204.88,48.04,59.7,1568.1,816.6,121.4,2398.3,1249.0,179.2,0
20000,202.83,48.66,61.4,1552.4,827.3,123.0,2374.2,1265.2,181.6,0
21000,200.8,49.31,63.0,1536.9,838.3,124.7,2350.5,1282.1,184.0,0
22000,198.82,49.98,64.5,1521.7,849.6,126.3,2327.3,1299.4,186.5,0
23000,196.86,50.66,65.8,1506.7,861.2,128.1,2304.4,1317.1,189.0,0
24000,194.94,51.36,67.1,1492.0,873.0,129.8,2281.9,1335.2,191.6,0
25000,193.05,52.06,68.3,1477.6,885.1,131.6,2259.8,1353.6,194.2,0
26000,191.19,52.78,69.4,1463.3,897.2,133.4,2238.0,1372.2,196.9,0
27000,189.34,53.5,70.4,1449.2,909.5,135.2,2216.4,1391.0,199.6,0
28000,187.51,54.22,71.3,1435.2,921.8,137.1,2195.0,1409.8,202.3,0
29000,185.69,54.95,72.2,1421.2,934.1,138.9,2173.6,1428.7,205.0,0
30000,183.86,55.67,73.0,1407.2,946.4,140.7,2152.2,1447.4,207.7,0
31000,182.02,56.39,73.7,1393.2,958.5,142.5,2130.7,1466.0,210.4,0
32000,180.16,57.09,74.4,1378.9,970.5,144.3,2108.9,1484.4,213.0,0
33000,178.27,57.78,75.0,1364.4,982.3,146.1,2086.8,1502.4,215.6,1
34000,176.34,58.46,75.5,1349.6,993.9,147.8,2064.2,1520.0,218.1,1
35000,174.35,59.12,76.0,1334.4,1005.1,149.5,2040.9,1537.2,220.6,1
36000,172.3,59.76,76.4,1318.7,1016.0,151.1,2016.8,1553.8,223.0,1
37000,170.16,60.38,76.8,1302.4,1026.4,152.6,1991.9,1569.8,225.3,1
38000,167.94,60.97,77.1,1285.4,1036.5,154.1,1965.9,1585.2,227.5,1
39000,165.61,61.53,77.3,1267.6,1046.0,155.5,1938.6,1599.8,229.6,1
40000,163.17,62.06,77.5,1248.9,1055.0,156.9,1910.0,1613.6,231.5,1
41000,160.6,62.56,77.5,1229.2,1063.5,158.1,1880.0,1626.5,233.4,1
42000,157.9,63.02,77.5,1208.5,1071.4,159.3,1848.3,1638.6,235.1,1
43000,155.04,63.45,77.4,1186.6,1078.6,160.4,1814.8,1649.7,236.7,1
44000,152.01,63.84,77.2,1163.5,1085.3,161.4,1779.4,1659.8,238.2,1
45000,148.82,64.19,76.8,1139.0,1091.3,162.3,1742.0,1669.0,239.5,1
46000,145.43,64.5,76.4,1113.1,1096.6,163.1,1702.4,1677.1,240.7,1
47000,141.86,64.78,75.8,1085.7,1101.2,163.7,1660.5,1684.2,241.7,1
48000,138.08,65.01,75.1,1056.8,1105.2,164.3,1616.3,1690.2,242.6,1
49000,134.09,65.2,74.2,1026.3,1108.4,164.8,1569.6,1695.3,243.3,1
50000,129.88,65.36,73.2,994.1,1111.1,165.2,1520.3,1699.3,243.8,0
51000,125.44,65.47,72.0,960.1,1113.1,165.5,1468.4,1702.3,244.3,0
52000,120.78,65.55,70.6,924.4,1114.4,165.7,1413.8,1704.4,244.6,0
53000,115.88,65.6,69.0,886.9,1115.2,165.8,1356.4,1705.6,244.8,0
54000,110.74,65.61,67.1,847.5,1115.4,165.9,1296.2,1706.0,244.8,0
55000,105.36,65.6,65.1,806.4,1115.2,165.8,1233.3,1705.6,244.7,0
56000,99.74,65.56,62.8,763.4,1114.5,165.7,1167.5,1704.5,244.6,0
57000,93.88,65.49,60.2,718.6,1113.4,165.6,1099.0,1702.8,244.4,0
58000,87.79,65.41,57.3,671.9,1112.0,165.4,1027.6,1700.7,244.0,0
59000,81.47,65.32,54.2,623.5,1110.4,165.1,953.6,1698.2,243.7,0
60000,74.92,65.22,50.8,573.4,1108.7,164.9,877.0,1695.6,243.3,0
