flow_bpd_60hz,head_ft,boost_psi_SG1.03,discharge_psig_atDesignSuction400,bhp_hp,amps_60hz_est,in_recommended_range
0,3493.7,1557.8,1957.8,810.6,109.8,0
2000,3482.2,1552.7,1952.7,815.1,110.4,0
4000,3470.2,1547.3,1947.3,822.1,111.4,0
6000,3457.8,1541.8,1941.8,831.4,112.6,0
8000,3444.6,1535.9,1935.9,843.0,114.2,0
10000,3430.7,1529.7,1929.7,856.5,116.0,0
12000,3415.7,1523.0,1923.0,872.0,118.1,0
14000,3399.6,1515.8,1915.8,889.3,120.5,0
16000,3382.2,1508.1,1908.1,908.3,123.1,1
18000,3363.4,1499.7,1899.7,928.8,125.8,1
20000,3343.0,1490.6,1890.6,950.6,128.8,1
22000,3320.8,1480.7,1880.7,973.8,131.9,1
24000,3296.8,1470.0,1870.0,998.0,135.2,1
26000,3270.7,1458.4,1858.4,1023.2,138.6,1
28000,3242.4,1445.7,1845.7,1049.3,142.2,1
30000,3211.7,1432.1,1832.1,1076.1,145.8,1
32000,3178.6,1417.3,1817.3,1103.5,149.5,1
34000,3142.8,1401.3,1801.3,1131.4,153.3,1
36000,3104.2,1384.1,1784.1,1159.6,157.1,1
38000,3062.6,1365.6,1765.6,1187.9,160.9,1
40000,3017.9,1345.6,1745.6,1216.3,164.8,1
42000,2969.9,1324.3,1724.3,1244.7,168.6,1
44000,2918.6,1301.4,1701.4,1272.8,172.4,1
46000,2863.6,1276.9,1676.9,1300.5,176.2,1
48000,2805.0,1250.7,1650.7,1327.8,179.9,1
50000,2742.4,1222.8,1622.8,1354.5,183.5,1
52000,2675.9,1193.1,1593.1,1380.4,187.0,1
54000,2605.2,1161.6,1561.6,1405.4,190.4,1
56000,2530.1,1128.1,1528.1,1429.4,193.7,1
58000,2450.6,1092.7,1492.7,1452.3,196.8,1
60000,2366.4,1055.2,1455.2,1473.8,199.7,1
62000,2277.5,1015.5,1415.5,1494.0,202.4,1
64000,2183.6,973.6,1373.6,1512.6,204.9,1
66000,2084.6,929.5,1329.5,1529.5,207.2,0
68000,1980.4,883.0,1283.0,1544.5,209.3,0
