flow_bpd_60hz,head_ft,boost_psi_SG1.03,discharge_psig_atDesignSuction1500,bhp_hp,amps_60hz_est,in_recommended_range
0,6535.1,2913.9,4413.9,756.5,99.1,0
1000,6502.5,2899.4,4399.4,759.2,99.5,0
2000,6469.5,2884.7,4384.7,764.7,100.2,0
3000,6435.7,2869.6,4369.6,772.9,101.3,0
4000,6401.1,2854.2,4354.2,783.5,102.6,0
5000,6365.4,2838.2,4338.2,796.3,104.3,0
6000,6328.5,2821.8,4321.8,811.4,106.3,0
7000,6290.2,2804.7,4304.7,828.3,108.5,0
8000,6250.4,2787.0,4287.0,847.1,111.0,0
9000,6208.8,2768.4,4268.4,867.5,113.7,1
10000,6165.4,2749.1,4249.1,889.3,116.5,1
11000,6119.8,2728.7,4228.7,912.5,119.5,1
12000,6072.0,2707.4,4207.4,936.7,122.7,1
13000,6021.8,2685.1,4185.1,962.0,126.0,1
14000,5969.0,2661.5,4161.5,988.0,129.4,1
15000,5913.5,2636.8,4136.8,1014.6,132.9,1
16000,5855.0,2610.7,4110.7,1041.6,136.5,1
17000,5793.4,2583.2,4083.2,1069.0,140.1,1
18000,5728.6,2554.3,4054.3,1096.5,143.7,1
19000,5660.3,2523.9,4023.9,1123.9,147.2,1
20000,5588.4,2491.8,3991.8,1151.1,150.8,1
21000,5512.7,2458.0,3958.0,1177.9,154.3,1
22000,5433.0,2422.5,3922.5,1204.2,157.8,1
23000,5349.2,2385.2,3885.2,1229.7,161.1,1
24000,5261.1,2345.9,3845.9,1254.4,164.3,1
25000,5168.6,2304.6,3804.6,1278.0,167.4,1
26000,5071.4,2261.3,3761.3,1300.4,170.4,1
27000,4969.3,2215.8,3715.8,1321.4,173.1,1
28000,4862.3,2168.0,3668.0,1340.8,175.7,1
29000,4750.1,2118.0,3618.0,1358.5,178.0,1
30000,4632.6,2065.6,3565.6,1374.4,180.1,1
31000,4509.6,2010.8,3510.8,1388.1,181.9,1
32000,4380.9,1953.4,3453.4,1399.7,183.4,1
33000,4246.4,1893.4,3393.4,1408.8,184.6,1
34000,4105.8,1830.7,3330.7,1415.4,185.4,1
35000,3959.1,1765.3,3265.3,1419.3,185.9,0
36000,3806.0,1697.0,3197.0,1420.2,186.1,0
37000,3646.3,1625.8,3125.8,1418.1,185.8,0
